[Log] 9 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:21 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43404653018986 (index.js, line 82)
[Log] Longitude: -75.69151435258391 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 10 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:22 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.434058556695824 (index.js, line 82)
[Log] Longitude: -75.69148774789937 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 11 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:23 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.4340739556009 (index.js, line 82)
[Log] Longitude: -75.6914536829936 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 12 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:24 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43408059747165 (index.js, line 82)
[Log] Longitude: -75.69143898945185 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 13 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:25 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43409190068949 (index.js, line 82)
[Log] Longitude: -75.69141532629146 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 14 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:26 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43410220031857 (index.js, line 82)
[Log] Longitude: -75.69139383489528 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 15 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:27 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43411211900571 (index.js, line 82)
[Log] Longitude: -75.6913729191001 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 16 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:28 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.434113801758954 (index.js, line 82)
[Log] Longitude: -75.69136932732363 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 17 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:29 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.4341169788631 (index.js, line 82)
[Log] Longitude: -75.6913625458401 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 18 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:30 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43411668982659 (index.js, line 82)
[Log] Longitude: -75.6913631630232 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 19 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:31 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.434116634224964 (index.js, line 82)
[Log] Longitude: -75.69136328122113 (index.js, line 83)
[Log] Accuracy: 10 (index.js, line 84)
[Log] 20 (index.js, line 80)
[Log]  Time:Wed Feb 05 2014 20:02:32 GMT-0500 (EST) (index.js, line 81)
[Log]  Latitude:45.43411704043845 (index.js, line 82)
